511	Don Ángel			
512	Amigo			
513	Afecto			
517	Novias			
518	Chilava			
520	Abrigo			
521	Calor			
522	Boina			
526	Enfermero			
529	Lazos			
530	Fonda			
531	Bar			
532	Cantina			
535	Despacho			
536	Tapas			
537	Cariño			
538	Barcelona			
540	Camarero			
541	Anillo			
543	Practicante			
544	Enamorarse			
547	Misa Nueva			
548	Ordenarse			
549	Arco			
551	Cantamisa			
553	Salustiano			
554	Trilla			
557	Monja			
558	Francia			
560	Sombreo			
561	Paja			
566	Silloncín			
567	Matallana			
568	Patio			
572	Luto			
574	Negra			
575	Parto			
577	Dinero			
578	Ricos			
580	Maestra			
583	Soltero			
584	Estudio			
585	Novicia			
586	Clinica			
588	Enfermera			
590	Renteria			
591	Cobrador			
592	Porvenir			
596	Párroco			
597	Parroquia			
598	Matueca			
599	Casa De Fotografías			
603	Estudiar			
604	Academia Becquer			
605	Agricultor			
607	Migina			
608	Muchos			
609	Años			
611	Madre			
612	Solteras			
619	Mandil			
620	Comida			
624	Antigua			
626	Coser			
627	Dar Clase			
628	Borrarse			
630	Salón			
632	Garrafón			
633	Juntarse			
634	Vestidas			
636	Tienda			
637	Molinillo De Café			
638	Alpargatas			
639	Colonias			
640	Latas De Conserva			
641	Galletas			
642	Aceite			
643	Ultramarinos			
644	Vender			
645	Pesar			
646	Arroz			
647	Azúcar			
649	Quiniela			
650	Pasarlo Bien			
652	Domigos			
653	R8			
656	Tarjeta Postal			
657	Pelo			
659	Melena			
662	Invitar			
664	Adobe			
667	Copia			
668	Coger Patatas			
669	Fotos			
670	Recopilar			
674	Coca-Cola			
675	Fanta			
676	Reloj			
677	Festina			
678	Incorporaron			
680	Fotografías			
687	Recuerda			
688	Uniforme			
689	Fallecer			
691	Sábana			
693	Mojón			
695	Telón			
698	Vestimentas			
700	Clase			
701	Rojo			
702	Abuela Manuela			
704	Pelar			
710	Tela			
711	Teatrillo			
712	Carné			
713	Cartilla Militar			
714	Conducta			
715	Entorchados			
716	Cartas			
717	Escribir			
719	Academia			
720	Letra			
721	Corazón			
722	Jesús			
724	Quemarse			
725	Restauración			
726	Primera Piedra			
728	Monumento			
729	Seguir			
730	Piedra			
734	Adobo			
735	Picadillo			
737	Cerdos			
738	Tratos			
739	Tripas			
740	Frío			
743	Pila			
744	Bautismo			
750	Misma			
751	Diferente			
752	Ropa			
753	Morro			
764	Horcones			
766	Trabajo			
768	Mayorcito			
769	Paseo			
770	Barro			
779	Disfraces			
785	Las Vegas			
786	Navidad			
787	Amigos			
791	Tradición			
799	Santo			
803	Embarrao			
804	Sacerdote			
805	Don Laurentino			
806	Acompañan			
807	Famoso			
809	Nacional			
815	Merinas			
816	Cargados			
817	Extremadura			
818	Laguna			
819	Helada			
823	Rastra			
825	Lo Último			
832	Cordel			
834	Cáceres			
835	Rebaño			
836	Eras			
837	Corrales			
838	Perros			
840	Monte			
841	Americano			
842	América			
843	Estados Unidos			
845	Padrino			
850	Madrina			
851	Afijada			
855	Cantar Misa			
856	Religiosa			
859	Robustiano			
860	Garrafa			
861	Porma			
862	Red			
863	Ganchillo			
864	Plomos			
865	Enseñar			
867	Truchas			
869	Bautizo			
870	Sobrina			
874	Poste De La Luz			
875	Ceuta			
876	Telefónica			
878	Caramelos			
879	Presa			
880	Calle			
881	Pañuelo			
882	Juerga			
883	Mondadas			
884	Risa			
887	Disfrazarse			
888	Mondarse De Risa			
890	Volverse Loco			
891	Taxista			
892	Mil Quinientos			
898	Sobrinos			
905	Famosa			
906	Palos			
908	Palio			
913	Mujeres			
916	Rosario			
917	Domingos			
918	Pueblo			
921	Madrid			
922	Veranos			
924	Arar			
925	Patatas			
927	Cura			
932	Vestirse De Gala			
934	Celebrar			
936	Vestidos			
938	Parrillas			
939	Encantar			
940	Parrillada			
942	Fines De Semana			
943	Berzas			
944	Cebollas			
945	Bailar			
949	Puente			
950	Lazo			
953	Bicicleta			
954	Maleta			
957	Coche De Línea			
958	Ambasaguas			
961	Bailón			
965	Grupo			
968	Liebres			
972	Pantalones Bombachos			
973	Elegantes			
975	Guapas			
978	Solidaridad			
979	Gaviones			
980	Inundarse			
981	Desbordarse			
982	Vestimenta			
984	Bueyes			
985	Bozal			
986	Unión			
987	Ayuda			
988	Hacendera			
989	Campana			
990	Reunión			
991	Reunirse			
994	Unidos			
995	Merendar			
997	Sardinas			
998	Chicharro			
999	María La Arroya			
1001	Personajes			
1002	Clase Social			
1004	Hacerse Mayor			
1005	Cambio			
1007	Casa De Fotos			
1008	Arreglar La Cara			
1011	Incendio			
1013	Albúm			
1014	Cazador			
1015	Caza			
1016	Escopeta			
1019	Hija			
1026	Oveja			
1028	Lana			
1030	Contar Ovejas			
1031	Ganaderos			
1034	Señal			
1038	Cuidar			
1039	Pedro El Cantero			
1040	Cantero			
1041	Viviendas			
1042	Finos			
1044	Inteligente			
1045	Autodidacta			
1046	Carretera			
1047	Puente De Barrio			
1048	Emigrar			
1051	Casarse Por Poderes			
1053	Ayudar			
1063	Particular			
1066	San Juan			
1067	Quince De Agosto			
1068	Arreglarse			
1072	Comedor			
1075	Tío Gildo			
1076	Viernes Santo			
1077	Perra			
1078	La Chata			
1083	Amenizar			
1086	Bombo			
1087	Fumar			
1088	Simular			
1091	Escenario			
1092	Orquesta			
1105	Galones			
1107	Mantilla			
1108	Corriente			
1109	Tierras			
1110	Músico			
1111	Guarnicionero			
1116	Jóven			
1117	Cifuentes De Rueda			
1118	Venir			
1119	Asado			
1124	Abuela			
1126	Pozo			
1128	Lavar			
1131	Baúles			
1139	Gocho			
1144	Misa			
1146	Chamuscar			
1152	Leña			
1154	Merendola			
1160	Manzanas			
1162	Paleras			
1163	Ijadas			
1164	Ganado			
1167	Asia			
1169	Escaño			
1173	Mina			
1179	Sello			
1182	Nuevo			
1183	Altar			
1184	Militar			
1187	Melilla			
1197	Chavalucas			
1199	Don Anselmo			
1210	Sobrino			
1222	Imagen			
1227	Bodas De Oro			
1236	Fin De Semana			
1238	Verdura			
1242	Caja España			
1246	Membrillo			
1247	Norte			
1259	Polainas			
1260	Porraco			
1261	Parir			
1262	Saco			
1263	Corderos			
1264	Cabritos			
1265	Montemedio			
1267	Sombrero			
1269	Ganao			
1270	Zamarra			
1272	Pinos			
1275	Alones			
1276	Mastín			
1277	El Tigre			
1279	Churras			
1283	Lobos			
1287	Lobada			
1288	Cencerra			
1293	Aquedar			
1302	Vestir			
1307	Perras			
1308	Tomenta			
1309	Jaleo			
1317	Ejemplares			
1319	Bajero			
1321	Encerrar			
1323	Cifuentes			
1326	Gelines			
1327	Asturianos			
1328	Cabeza			
1329	Paciendo			
1330	Escardamulos			
1332	No Me Acuerdo Como Se Llama			
1335	Gente Del Pueblo			
1336	Hijo Mío			
1340	Trillar			
1342	Horca			
1344	Menuda			
1345	Grano			
1347	Muerto			
1351	Marido			
1352	Bilbao			
